cityName;numFilm;numSeat;numPeople
Adana;937;8789;1252022
Adıyaman;201;636;120926
Afyonkarahisar;419;1849;287911
Ağrı;173;470;77179
Aksaray;134;821;130900
Amasya;203;843;90521
Ankara;5961;30831;5585141
Antalya;3083;12833;2369476
Ardahan;0;0;0
Artvin;138;1324;68026
Aydın;617;3176;573210
Balıkesir;969;4592;872320
Bartın;200;380;120000
Batman;121;986;76011
Bayburt;10;80;6800
Bilecik;74;190;18823
Bingöl;212;590;94326
Bitlis;29;220;35604
Bolu;460;1707;294099
Burdur;43;403;43000
Bursa;2244;11076;2494810
Çanakkale;249;965;292524
Çankırı;138;316;59920
Çorum;385;2137;188058
Denizli;600;3632;838663
Diyarbakır;1110;5862;632922
Düzce;327;1303;329627
Edirne;587;2814;301196
Elazığ;186;829;284160
Erzincan;135;420;141055
Erzurum;629;3279;397446
Eskişehir;979;3838;1065550
Gaziantep;864;4906;1168922
Giresun;470;831;92159
Gümüşhane;53;142;29041
Hakkari;0;0;0
Hatay;1099;3334;825164
Iğdır;40;145;16875
Isparta;329;1321;257520
İstanbul;21072;110187;16665033
İzmir;4226;24064;3965252
Kahramanmaraş;340;1830;366575
Karabük;316;1129;148256
Karaman;51;370;44369
Kars;31;269;19500
Kastamonu;315;1375;170640
Kayseri;903;4762;900864
Kilis;40;239;9100
Kırıkkale;139;740;142065
Kırklareli;368;1719;231056
Kırşehir;73;568;85000
Kocaeli;2006;8388;1510119
Konya;1074;6469;921845
Kütahya;153;1402;196007
Malatya;472;3032;478412
Manisa;1323;3848;682381
Mardin;307;1071;173519
Mersin;1147;5046;988865
Muğla;1143;4534;914693
Muş;71;403;50828
Nevşehir;315;1428;164556
Niğde;92;439;86746
Ordu;444;1238;287382
Osmaniye;154;708;319790
Rize;215;1276;201618
Sakarya;1108;4605;967504
Samsun;691;3125;642849
Şanlıurfa;778;3062;331738
Siirt;70;307;21000
Sinop;104;1504;50484
Şırnak;0;0;0
Sivas;429;1908;227324
Tekirdağ;722;3601;607116
Tokat;559;2008;322703
Trabzon;652;3326;535891
Tunceli;21;100;5709
Uşak;575;1976;289294
Van;187;1890;379626
Yalova;396;1743;269764
Yozgat;315;1303;138470
Zonguldak;581;3052;433359
